Timestamp,Age,Occupation,Did you vote in the last election?,"(If “No,” ask this question)

Why didn’t you vote? ",Why did you vote for your candidate?  ,Which party do you belong to?,Why do you think the NPP parliamentary candidate lost in the election?,Did you know about Frederick Obeng Adom’s projects as MP before the election?,Do you think Frederick Obeng Adom solved the community’s problems?  ,Why do you think Emmanuel Drah (NDC) won?,What did the NDC do better than the NPP?  ,Which of the former MPs would you say was the best performing MP for the constituency?,Community name:,What are the biggest problems in your community? (Pick 2 or more)  ,Who addressed these issues better during the election?,Suggestions for the team that wants to win in 2028,Do you think the election results were fair and reflect the people’s choice?
12/28/2024 19:09,61,Trader,Yes,,I support their party,NDC,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","I heard, but they didn't help me","No, he didn't solve major issues","He was more visible and approachable, People were not happy with the NPP government",They made stronger promises,Frederick Adom,Atim Atim ,"Jobs, Clean water",Frederick Obeng Adom (NPP),Depends on what the current MP will do ,Yes
12/28/2024 19:09,,,No,,,,,,,,,,,,,,
12/28/2024 19:09,,Trader,Yes,,For change and development ,NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","No, I didn't know about them","No, he didn't solve major issues","The NDC’s promises were better, People were not happy with the NPP government","They made stronger promises, They focused on key issues (farming, roads, schools)",Amankwanor,Roman quarters ,"Bad roads, Clean water",Emmanuel Drah (NDC),Come out with better policies ,Yes
12/28/2024 19:10,,,Yes,,,,,,,,,,,,,,
12/28/2024 19:10,,Unemployed ,Yes,,For change ,NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","No, I didn't know about them","No, he didn't solve major issues",The NDC’s promises were better,"They were better at reaching people, They focused on key issues (farming, roads, schools)",Salas Mensah,Obeng Yaw,Electricity ,Neither,They should fulfil their promises on time ,Yes
12/28/2024 19:10,,,Yes,,,,,,,,,,,,,,
12/28/2024 19:11,,,No,,,,,,,,,,,,,,
12/28/2024 19:11,24,Trader ,Yes,,I support their party,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",People were not happy with the NPP government,They were better at reaching people,Frederick Adom,Atim Atim ,Jobs,Frederick Obeng Adom (NPP),Provide the needful for the community ,Yes
12/28/2024 19:11,53,Farmer ,Yes,,I liked their projects or promises,NPP,He didn’t do enough for the community,"Yes, I knew about them","Yes, he did most of the work needed",He was more visible and approachable,They were better at reaching people,Frederick Adom,Atimatim ,"Bad roads, Jobs, Health Services, Clean water",Frederick Obeng Adom (NPP),Job creation and more infrastructure ,Yes
12/28/2024 19:12,,,No,,,,,,,,,,Odumkyere Darman ,,,,
12/28/2024 19:13,,,No,,,,,,,,,,,,,,
12/28/2024 19:14,21,Seamstress ,Yes,,I support their party,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",People were not happy with the NPP government,They were better at reaching people,Frederick Adom,Owurakesim ,"Jobs, Lavatories ",Emmanuel Drah (NDC),Fulfill their promise ,Yes
12/28/2024 19:14,,,Yes,,,,,,,,,,Odumkyere Darman,,,,
12/28/2024 19:15,35,Trader,Yes,,I support their party,NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community, The NDC’s promises sounded better, ","Yes, I knew about them","He tried, but it wasn't enough","He was more visible and approachable, People here always vote NDC","They were better at reaching people, They made stronger promises",Salas Mensah,Odumkyere Darmang,"Bad roads, Jobs, Clean water",Emmanuel Drah (NDC),Provide more jobs ,Yes
12/28/2024 19:16,,,Yes,,,,,,,,,,Atimetim,,,,
12/28/2024 19:16,,,No,,,,,,,,,Frederick Adom,Atimetim,,,,
12/28/2024 19:17,52,Hair dresser ,Yes,,"I support their party, I liked their projects or promises",NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","No, he didn't solve major issues",The NDC’s promises were better,They made stronger promises,Frederick Adom,Atim Atim ,"Help for farmers (tools, fertilizer), Jobs, Clean water",Frederick Obeng Adom (NPP),Depends on what the current MP will do ,No
12/28/2024 19:17,,,Yes,,,,,,,,,,,,,,
12/28/2024 19:18,41,Tailor ,Yes,,I liked their projects or promises,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them, Boreholes ","Yes, he did most of the work needed",People were not happy with the NPP government,They made stronger promises,Frederick Adom,Odumkyere Damang ,Jobs,Frederick Obeng Adom (NPP),Fulfill their promise ,Yes
12/28/2024 19:18,24,Seamstress ,No,I travelled ,,,,,,,,,,,,,
12/28/2024 19:19,29,Unemployed ,No,I had no transportation,"I support their party, I liked their projects or promises",NDC,"People were not happy with the NPP government and wanted change, People vote for NDC here","No, I didn't know about them","No, he didn't solve major issues","People here always vote NDC, People were not happy with the NPP government",They made stronger promises,Assifu Bekoe,Obeng Yaw ,"Jobs, Clean water",Neither,Depends on what the current MP will do ,Dont know
12/28/2024 19:19,36,Carpenter,Yes,,I support their party,NPP,People vote for NDC here,"Yes, I knew about them","Yes, he did most of the work needed",He was more visible and approachable,They were better at reaching people,Frederick Adom,Roman quarters ,Clean water,Frederick Obeng Adom (NPP),They should fulfil their promises ,Yes
12/30/2024 8:57,18,Student,No,Missing ?? ,,,,,,,,,,,,,
12/30/2024 8:59,18,Student,No,,,,,,,,,,,,,,
12/30/2024 9:00,32,Okada,Yes,,I support their party,NDC,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They focused on key issues (farming, roads, schools)",Assifu Bekoe,Okurase,"Jobs, Clean water, Public toilet",Emmanuel Drah (NDC),Nothing,Yes
12/30/2024 9:00,,Trader,Yes,,I support their party,NDC,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","Yes, I knew about them","Yes, he did most of the work needed","He was more visible and approachable, People here always vote NDC","They focused on key issues (farming, roads, schools)",Frederick Adom,,"Help for farmers (tools, fertilizer), Schools and education, Health Services, Clean water",Frederick Obeng Adom (NPP),,Yes
12/30/2024 9:01,34,Unemployed ,No,,I liked their projects or promises,NPP,Change ,"Yes, I knew about them","Yes, he did most of the work needed",Change ,,Frederick Adom,Owurakesim ,"Bad roads, Schools and education, Health Services, Clean water",Frederick Obeng Adom (NPP),Job creation and more infrastructure ,Yes
12/30/2024 9:01,43,Trader ,Yes,,I support their party,NPP,The NDC’s promises sounded better,"Yes, I knew about them","Yes, he did most of the work needed",He was more visible and approachable,"They focused on key issues (farming, roads, schools)",Frederick Adom,Okurase ,"Bad roads, Jobs, Health Services, Lavatory ",Neither,Good policies ,Yes
12/30/2024 9:01,42,Shoemaker ,Yes,,I support their party,NPP,"People were not happy with the NPP government and wanted change, People were not happy","Yes, I knew about them","Yes, he did most of the work needed",People were not happy with the NPP government,They made stronger promises,Frederick Adom,Okurase ,Jobs,Emmanuel Drah (NDC),There should team support ,Yes
12/30/2024 9:02,,Pharmacy ,Yes,,I liked their projects or promises,,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","Yes, I knew about them","Yes, he did most of the work needed",People here always vote NDC,People always vote NDC here ,Amankwanor,Okurase,Jobs,Emmanuel Drah (NDC),They should fulfil their promises ,Yes
12/30/2024 9:02,41,Food vendor,Yes,,I liked their projects or promises,None,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community, The NDC’s promises sounded better","I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, People here always vote NDC, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Assifu Bekoe,Okurase,"Jobs, Clean water, Electricity",Emmanuel Drah (NDC),,Yes
12/30/2024 9:04,,,No,Couldn't transfer vote ,,,,,,,,,,,,,
12/30/2024 9:05,33,Unemployed,Yes,,"I support their party, I liked their projects or promises",NPP,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community, The NDC’s promises sounded better","Yes, I knew about them","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Frederick Adom,Okurase,"Jobs, Clean water, Public toilet",Frederick Obeng Adom (NPP),Work harder,Yes
12/30/2024 9:05,32,Unemployed ,Yes,,I liked their projects or promises,NPP,Team didn’t support ,"Yes, I knew about them","Yes, he did most of the work needed",People here always vote NDC,,Frederick Adom,Okurase ,"Bad roads, Jobs, Health Services, Clean water",Frederick Obeng Adom (NPP),Job creation and more infrastructure ,Yes
12/30/2024 9:05,,Trader,Yes,,"I support their party, They were active in the community",NDC,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better, People vote for NDC here","No, I didn't know about them","No, he didn't solve major issues","He was more visible and approachable, People were not happy with the NPP government","They made stronger promises, They focused on key issues (farming, roads, schools)",,Okurase,"Jobs, Schools and education, Health Services, Clean water",Neither,,Dont know
12/30/2024 9:05,22,Student ,No,I had no transportation,,NPP,,"Yes, I knew about them",,People were not happy with the NPP government,They made stronger promises,Frederick Adom,Okurase ,"Jobs, Market place",Frederick Obeng Adom (NPP),Provide the needful for the community ,Yes
12/30/2024 9:08,,Student ,Yes,,As a citizen ,,He didn’t do enough for the community,"I heard, but they didn't help me","No, he didn't solve major issues","People were not happy with the NPP government, For change ",None ,Frederick Adom,Okurase ,Land disputes ,Neither,They should fulfil their promises ,Yes
12/30/2024 9:08,,Midwifery ,No,I had no transportation,,,,,,,,,,,,,
12/30/2024 9:08,27,Food vendor,Yes,,Economic hardship ,NDC,Delayed projects ,"Yes, I knew about them","No, he didn't solve major issues",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Frederick Adom,Okurase ,"Bad roads, Clean water, Lavatory ",Frederick Obeng Adom (NPP),Fulfilling policies on time ,Yes
12/30/2024 9:08,37,Wood carver,Yes,,"I liked their projects or promises, They were active in the community",NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community, The NDC’s promises sounded better","I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, The NDC’s promises were better, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Assifu Bekoe,Okurase,"Jobs, Clean water",Emmanuel Drah (NDC),Work harder and be careful with party members,Yes
12/30/2024 9:09,29,Nurse ,No,Travelled ,,,,,,,,,,,,,
12/30/2024 9:09,38,Carver ,Yes,,Change ,NDC,Team didn’t support ,"Yes, I knew about them","Yes, he did most of the work needed",People were not happy with the NPP government,,Frederick Adom,Okurase ,"Jobs, Health Services, Clean water",Frederick Obeng Adom (NPP),Job creation and more infrastructure ,Yes
12/30/2024 9:10,34,Trader ,Yes,,I support their party,NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","He tried, but it wasn't enough",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Frederick Adom,Okurase ,"Bad roads, Jobs, Health Services, Clean water, Lavatory ",Frederick Obeng Adom (NPP),Fulfilling their promises ,Yes
12/30/2024 9:10,76,Trader,Yes,,"I support their party, I liked their projects or promises",NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","He tried, but it wasn't enough",People were not happy with the NPP government,They made stronger promises,Frederick Adom,Okurase,"Jobs, Schools and education, Market place ",Frederick Obeng Adom (NPP),Provide the needful for the community ,Yes
12/30/2024 9:10,,Hairdresser ,No,Working ,,,,,,,,,,,,,
12/30/2024 9:12,34,Trader ,Yes,,I support their party,NPP,,"Yes, I knew about them","Yes, he did most of the work needed",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",,Okurase ,"Health Services, Clean water, Lavatory ",Frederick Obeng Adom (NPP),Good policies that will benefit the entire community ,Yes
12/30/2024 9:12,,,No,,,,,,,,,,,,,,
12/30/2024 9:13,43,Wood carver,Yes,,"I support their party, They were active in the community",NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community, The NDC’s promises sounded better","I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, The NDC’s promises were better, People were not happy with the NPP government","They were better at reaching people, They made stronger promises",Assifu Bekoe,Okurase,"Jobs, Clean water",Emmanuel Drah (NDC),No idea,Yes
